date,underlying_pct,composition_pct,raw_mean_pct,total_fitted_pct,n_obs_curr,n_obs_base,r2_curr,r2_base
2020-02-01,2.62888880468668,1.5711732314465099,4.226053267584073,4.22605326758374,49942,50517,0.6226,0.6125
2020-03-01,2.904750366173414,3.705636290982328,6.738565084134462,6.73856508413424,44131,50692,0.6159,0.6098
2020-04-01,3.1617180818243495,5.790311973767426,9.178704530183278,9.178704530183124,37425,51128,0.6126,0.6137
2020-05-01,3.3914590750917295,6.042375157961777,9.64275653001565,9.642756530015696,39135,52400,0.6144,0.6171
2020-06-01,3.4191610053696975,4.697717896101139,8.242959551362494,8.242959551362649,41324,53042,0.6181,0.6233
2020-07-01,3.403794272160221,3.377857066517209,6.8194280454316525,6.81942804543163,40614,51932,0.6313,0.6252
2020-08-01,3.1947196971033653,2.880109279513743,6.065165291919183,6.065165291919072,40781,51867,0.624,0.6323
2020-09-01,3.1158213810494217,2.644691025015966,5.730784473167683,5.730784473167327,41647,51117,0.609,0.6154
2020-10-01,2.85786751349395,2.5193920312592155,5.3531914462869645,5.3531914462868535,41162,50855,0.611,0.6165
2020-11-01,2.8915437401718647,2.634240907018026,5.557977300532402,5.557977300532357,40556,49944,0.6152,0.6194
2020-12-01,2.7785230619824075,3.128262317776498,5.960151084292997,5.960151084293064,39477,49561,0.6195,0.6178
2021-01-01,2.8268977578842502,3.3201200378258244,6.22309055426431,6.22309055426451,38720,49391,0.609,0.621
2021-02-01,2.740164628576025,2.327804132097877,5.126327455224899,5.12632745522501,40180,49942,0.6067,0.6226
2021-03-01,2.4972165394624657,-0.07742137142054961,2.39607334632288,2.396073346322991,41130,44131,0.6054,0.6159
2021-04-01,2.1538895613111952,-2.0992864146571644,-0.006776986429668508,-0.0067769864297462235,41794,37425,0.6073,0.6126
2021-05-01,1.8208711763366692,-2.550085970014615,-0.7948063116435145,-0.7948063116434922,42780,39135,0.6068,0.6144
2021-06-01,1.7624393657330373,-1.693222126197802,0.06338305655404497,0.06338305655393395,43646,41324,0.614,0.6181
2021-07-01,1.8562963643847796,-0.8113924965588049,1.0825228750954485,1.082522875095382,42582,40614,0.6245,0.6313
2021-08-01,2.173858128308148,-0.32340974776966513,1.8843548090190732,1.8843548090189621,42968,40781,0.6187,0.624
2021-09-01,2.363007988733057,-0.23058919336488293,2.163148964948136,2.1631489649480917,42992,41647,0.6085,0.609
2021-10-01,2.609640120224954,-0.170463103928431,2.471177259776325,2.471177259776036,43219,41162,0.6123,0.611
2021-11-01,2.8260961878659563,-0.3285306056714843,2.552303332956507,2.5523033329559963,44640,40556,0.6133,0.6152
2021-12-01,3.0446858711983715,-0.4528034016381799,2.643195484366778,2.643195484366312,45974,39477,0.6145,0.6195
2022-01-01,3.1431569210815358,-0.5362589550038988,2.625927731524169,2.6259277315237917,47254,38720,0.6122,0.609
2022-02-01,3.0902840347320604,-0.45109828937250906,2.678205673599332,2.6782056735993987,51574,40153,0.6095,0.6068
2022-03-01,3.2496540904661586,-0.3688633916684392,2.9110846998342765,2.9110846998342987,53793,41130,0.6106,0.6054
