date,underlying_pct,boc,resid,composition_pct,raw_mean_pct,n_obs_curr,n_obs_base
2018-10-01,3.498944834206519,3.4,0.0989448342065189,0.0253304416068633,3.466594123112565,51493,52729
2018-11-01,3.640353547224362,3.6,0.04035354722436191,-0.1629001930233964,3.440521354482206,51165,52353
2018-12-01,3.44524980004568,3.4,0.04524980004568002,-0.0196333636186318,3.41244498125326,50796,52196
2019-01-01,3.2376096382727315,3.2,0.03760963827273134,-0.1794885998870676,3.007278712273731,50333,50872
2019-02-01,3.046615756905502,2.9,0.146615756905502,-0.0940389202850888,2.8839811871988363,50517,51311
2019-03-01,2.892781209788975,2.9,-0.007218790211025006,-0.0409345909397451,2.8495039292923963,50692,51332
2019-04-01,2.84223356662221,2.8,0.042233566622210006,-0.1614270359262315,2.717611627128002,51128,51804
2019-05-01,2.565363460007553,2.5,0.065363460007553,0.2891564613467512,2.91915373913727,52400,53364
2019-06-01,2.7031209722825578,2.6,0.10312097228255768,0.5936113176216784,3.356867961436816,53042,53425
2019-07-01,2.510779691916998,2.4,0.11077969191699788,1.0540028250315192,3.584070740981504,51932,52683
2019-08-01,2.7440255337366493,2.5,0.24402553373664926,0.8706913271084638,3.600178004471988,51867,52111
2019-09-01,3.0985015725577103,2.9,0.1985015725577104,0.8236375958813769,3.9615535723042106,51117,51783
2019-10-01,2.7108050782143955,2.5,0.21080507821439554,0.8977063636494975,3.5872758767307777,50855,51493
2019-11-01,2.7244862835865247,2.6,0.12448628358652458,0.8668793385502083,3.590729312620966,49944,51165
2019-12-01,2.5587244152690314,2.4,0.15872441526903147,0.6007754355158657,3.1612040825222287,49561,50796
2020-01-01,2.48123872410142,2.3,0.18123872410142017,0.7410447837918221,3.211960872361619,49391,50333
2020-02-01,2.6957675706763995,2.5,0.1957675706763995,0.6705409157674591,3.349939747778774,49942,50517
2020-03-01,2.6664914291436137,2.6,0.06649142914361361,3.340039844660448,6.142331017431468,44131,50692
2020-04-01,3.209719026182212,3.1,0.10971902618221208,7.27815207893252,10.857538619780671,37425,51128
2020-05-01,3.395606130167894,3.3,0.09560613016789432,6.912766328693554,10.60123025305204,39135,52400
2020-06-01,3.373600731890192,3.1,0.2736007318901921,4.078870819238678,7.501530499947884,41324,53042
2020-07-01,3.3692153219947008,3.2,0.16921532199470057,3.2260514193036105,6.6655971968763605,40614,51932
2020-08-01,3.4191307750381927,3.2,0.21913077503819256,2.88669311308174,6.294728792486293,40781,51867
2020-09-01,2.810841464087233,2.6,0.21084146408723292,2.525448214869619,5.240335012953334,41647,51117
2020-10-01,3.215612142457691,3.0,0.2156121424576911,2.444194210122741,5.659953044992649,41162,50855
2020-11-01,2.659146448096261,2.6,0.05914644809626113,2.5005510687494903,5.159969916382212,40556,49944
2020-12-01,2.8773983860177488,2.7,0.1773983860177486,2.886588413375501,5.855228147442038,39477,49561
